Date,Open,High,Low,Close,Volume
2017-02-09,38780.0,38840.0,38220.0,38400.0,13694150
2017-02-10,38400.0,38760.0,38300.0,38360.0,11020750
2017-02-13,37740.0,38060.0,37720.0,37960.0,11102050
2017-02-14,37960.0,38260.0,37320.0,37580.0,13124150
2017-02-15,37080.0,37960.0,37080.0,37720.0,14191550
2017-02-16,37800.0,38360.0,37780.0,38020.0,10226350
2017-02-17,37560.0,38040.0,37280.0,37860.0,15377450
2017-02-20,38220.0,38780.0,38160.0,38660.0,7485800
2017-02-21,38540.0,39560.0,38420.0,38940.0,10562600
2017-02-22,39000.0,39340.0,38980.0,39300.0,8539450
2017-02-23,39020.0,39440.0,39020.0,39180.0,10217300
2017-02-24,38960.0,39100.0,38060.0,38220.0,9296850
2017-02-27,38020.0,38140.0,37700.0,38060.0,9033700
2017-02-28,38060.0,38760.0,37960.0,38440.0,15088700
2017-03-02,38420.0,39860.0,38420.0,39720.0,21249800
2017-03-03,39340.0,39720.0,39160.0,39620.0,12708700
2017-03-06,39220.0,40220.0,39220.0,40080.0,12234850
2017-03-07,39800.0,40320.0,39800.0,40200.0,10553250
2017-03-08,40200.0,40620.0,40140.0,40200.0,12140950
2017-03-09,40200.0,40300.0,40020.0,40200.0,14372250
2017-03-10,39960.0,40420.0,39860.0,40180.0,10227800
2017-03-13,40040.0,40980.0,40040.0,40600.0,7424100
2017-03-14,40620.0,41540.0,40500.0,41360.0,11325050
2017-03-15,40800.0,41440.0,40800.0,41400.0,9587850
2017-03-16,41800.0,42180.0,41540.0,41840.0,9933150
2017-03-17,41800.0,42500.0,41720.0,42400.0,12602300
2017-03-20,42000.0,42120.0,41740.0,41900.0,10250050
2017-03-21,41780.0,42680.0,41760.0,42560.0,14220150
2017-03-22,41600.0,42460.0,41580.0,42460.0,16427250
2017-03-23,42200.0,42360.0,41700.0,41800.0,15397100
2017-03-24,41600.0,41980.0,41080.0,41500.0,12808150
2017-03-27,41200.0,41880.0,41180.0,41200.0,12177650
2017-03-28,41560.0,41840.0,41380.0,41480.0,8216250
2017-03-29,41740.0,41960.0,41580.0,41780.0,10093250
2017-03-30,41880.0,42440.0,41880.0,41980.0,8204000
2017-03-31,41820.0,42020.0,41200.0,41200.0,10500300
2017-04-03,41400.0,41720.0,41300.0,41440.0,9579400
2017-04-04,41600.0,42180.0,41520.0,42080.0,12255500
2017-04-05,41900.0,42240.0,41700.0,42140.0,10699700
2017-04-06,42000.0,42080.0,41600.0,41840.0,9683400
2017-04-07,41800.0,41820.0,41160.0,41600.0,10021000
2017-04-10,41940.0,41940.0,41500.0,41940.0,7141350
2017-04-11,41940.0,41940.0,41580.0,41600.0,7172900
2017-04-12,41860.0,41940.0,41700.0,41900.0,8274900
2017-04-13,41660.0,42460.0,41660.0,42420.0,9040800
2017-04-14,42160.0,42260.0,41760.0,42020.0,5462850
2017-04-17,42000.0,42080.0,41520.0,41560.0,5224750
2017-04-18,41680.0,41820.0,41280.0,41500.0,6860650
2017-04-19,41300.0,41420.0,40900.0,40900.0,11762900
2017-04-20,40580.0,40800.0,40080.0,40280.0,21148850
2017-04-21,40480.0,41400.0,40480.0,40760.0,15130500
2017-04-24,41260.0,41260.0,40920.0,41240.0,8990150
2017-04-25,41460.0,42740.0,41320.0,42700.0,19299600
2017-04-26,42700.0,42800.0,42520.0,42800.0,14794800
2017-04-27,42700.0,44520.0,41960.0,43840.0,23032250
2017-04-28,45780.0,45800.0,44520.0,44620.0,22685700
2017-05-02,45500.0,45500.0,44760.0,44900.0,14068300
2017-05-04,45700.0,45700.0,44860.0,45520.0,13690100
2017-05-08,45520.0,47020.0,45340.0,47020.0,19582550
2017-05-10,46160.0,47220.0,45600.0,45600.0,23410950
2017-05-11,45420.0,46180.0,45220.0,45500.0,21277850
2017-05-12,45760.0,46160.0,45660.0,45820.0,9422900
2017-05-15,45620.0,46280.0,45620.0,46100.0,8001400
2017-05-16,46660.0,46800.0,46100.0,46380.0,8803750
2017-05-17,46120.0,46640.0,46100.0,46340.0,7424450
2017-05-18,45740.0,46000.0,45540.0,45940.0,11160350
2017-05-19,45640.0,45780.0,44720.0,44720.0,15762350
2017-05-22,45040.0,45380.0,44760.0,45100.0,17643550
2017-05-23,45400.0,45580.0,44900.0,44920.0,12607050
2017-05-24,44860.0,45300.0,44800.0,44880.0,8675400
2017-05-25,45160.0,45680.0,44800.0,45680.0,13044800
2017-05-26,45600.0,46460.0,45540.0,46080.0,13613650
2017-05-29,46220.0,46400.0,45380.0,45620.0,8739550
2017-05-30,45520.0,45660.0,44480.0,44640.0,12433600
2017-05-31,44580.0,45020.0,44400.0,44700.0,18669100
2017-06-01,44860.0,44900.0,44400.0,44680.0,9753500
2017-06-02,45060.0,45960.0,45000.0,45960.0,12488750
2017-06-05,46040.0,46360.0,45720.0,45940.0,7599400
2017-06-07,46500.0,46500.0,45240.0,45300.0,13729400
2017-06-08,45000.0,45580.0,45000.0,45160.0,13978750
2017-06-09,45680.0,46440.0,45600.0,46100.0,11732850
2017-06-12,45420.0,45600.0,45140.0,45380.0,10954300
2017-06-13,45140.0,45620.0,45140.0,45400.0,8624900
2017-06-14,45800.0,46060.0,45240.0,45360.0,10166700
2017-06-15,45680.0,45920.0,45180.0,45680.0,9657000
2017-06-16,45500.0,45940.0,45460.0,45580.0,17403450
2017-06-19,45580.0,46560.0,45560.0,46560.0,11303900
2017-06-20,47240.0,48140.0,47220.0,48140.0,15045000
2017-06-21,47740.0,48120.0,47480.0,47480.0,9973650
2017-06-22,47960.0,48080.0,47720.0,47960.0,11455800
2017-06-23,47600.0,47780.0,47420.0,47620.0,9515100
2017-06-26,47520.0,48360.0,47520.0,48280.0,8552800
2017-06-27,48220.0,48400.0,47900.0,48300.0,9616750
2017-06-28,47600.0,48000.0,47560.0,47700.0,9572500
2017-06-29,48040.0,48320.0,47940.0,47940.0,8306550
2017-06-30,47500.0,47620.0,47100.0,47540.0,11877550
2017-07-03,47500.0,47780.0,47120.0,47220.0,6805550
2017-07-04,47160.0,47400.0,46900.0,47000.0,7961000
2017-07-05,46820.0,47680.0,46780.0,47580.0,10640250
2017-07-06,48000.0,48100.0,47720.0,48060.0,10923050
2017-07-07,47740.0,48120.0,47620.0,47860.0,8131900
2017-07-10,48500.0,48900.0,48320.0,48660.0,10792750
2017-07-11,48640.0,49000.0,48280.0,49000.0,9717800
